Name,Country,Description,Entity Type,Sector,Team (People) 1,Team (People) 2,Team (People) 3,Team (People) 4,Partner 1 (Orgs),Partner 2 (Orgs),Partner 3 (Orgs),Partner 4 (Orgs),Partner 5 (Orgs),Partner 6 (Orgs),Url,Github,Project 1,Project 2,Project 3,Project 4,Project 5,Project 6,Project 7,Project 8,Related
Earth Journalism Network,,An organization that empowers and enables journalists from developing countries to cover the environment more effectively. ,Non Profit,Natural Resources,James Fahn,,,,The World Bank,,,,,,http://earthjournalism.net/,,,,,,,,,,
Eletronic Books,South Africa,,,,Arthur Atwell,,,,,,,,,,,https://github.com/electricbookworks,,,,,,,,,
FloodTags,,Organisation that uses online media and user generated content to build monitoring tools for disaster management and food security.,Social Enterprise,Natural Resources,Jurjen Wagemaker,,,,,,,,,,https://www.floodtags.com,,"anzania Red Cross Extreme Weather Impact Awareness App, Historical Flood Events Uganda",,,,,,,,https://dashboard.floodtags.com
Geekulcha,South Africa,"Organisation that focuses on empowering young skilled, creative and ambitious tech minds through ICT skills development and training while giving them industry exposure.",Social Enterprise,Education,Mixo Ngoveni,Sina Legong,Keitumetsi Tsotetsi,Hlulani Ruth Baloyi,The Open Data Institute,Codebridge,,,,,https://geekulcha.com/index.php,https://github.com/Geekulcha,,,,,,,,,
Global Investigative Journalism Network,,"An international association of nonprofit organizations that support, promote, and produce investigative journalism.",Non Profit,Transparency,David Kaplan,,,,,,,,,,,,,,,,,,,,
Google,USA,"A multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, search engine, cloud computing, software, and hardware. ",Social Enterprise,Governance,Sundar Pichai,,,,,,,,,,www.google.com,,,,,,,,,,
Greenstand,Tanzania,"Organisation that works to enhance ecological health and integrity of degraded lands while supporting the welfare of local communities through active forestry restoration, ecological research, and social engagement",Non Profit,Natural Resources,Tom Morrison,Alicia Davis,,,,,,,,,https://greenstand.org,https://github.com/greenstand,TreeTracker,,,,,,,,
Hacks/Hackers Africa,Africa,,Non Profit,Transparency,,,,,Bill & Melinda Gates Foundation,Code for Africa,,,,,,https://github.com/HacksHackersAfrica,,,,,,,,,
Hivos,"Kenya, Tanzania","Organisation that provides financial support, advocacy, and it supports knowledge sharing in particular in the field of social change, digital activism and rural innovations.",Donor / Investor,Governance,Mendi Njonjo,,,,Hivos,,,,,,https://east-africa.hivos.org,,,,,,,,,,
Human Development Innovation Fund,Tanzania,"Organisation that aims to identify and support innovations that have the potential to create social impact in education, health and, water, sanitation and hygiene (WASH) across Tanzania",Donor / Investor,Health,David McGinty,,,,Commision for Science and Technology (COSTECH),Institute for Development Studies,Buni Innovation Hub,UK Aid Direct (UKAID),KPMG,Palladium,http://www.hdif-tz.org,,,,,,,,,,
IBP (International Budget Partnership),"Kenya, South Africa, Tanzania",Organisation that collaborates with civil society around the world to analyze and influence public budgets in order to reduce poverty and improve the quality of governance,Public Agency,Transparency,Warren Krafchik,,,,,,,,,,https://www.internationalbudget.org,,,,,,,,,,
ICFJ (International Center for Journalists),"South Africa, Kenya, Tanzania, Nigeria","A non-profit, professional organization located in Washington, D.C., United States, that promotes journalism.",Non Profit,Transparency,Joyce Barnathan,,,,,,,,,,https://www.icfj.org,,GotToVote,,,,,,,,
iHub,Kenya,Innovation hub for ICT focused tech entrepreneurs and individuals who aspire to create companies that tackle some of Africa's biggest challenges.,Social Enterprise,Governance,Mary Gicharu,Erik Hersman,,,Making All Voices Count,Google,Microsoft,The World Bank - Africa,Via Water,Omidyar Network,https://ihub.co.ke,https://github.com/iHub,https://ihub.co.ke/resources,,,,,,,,https://ihub.co.ke/resources
IPPR (Institute for Public Policy Research),Namibia,"Organisation with a mission to deliver research into social, political and economic issues that affect development in Namibia.",Non Profit,Transparency,Graham Hopwood,,,,,,,,,,http://www.ippr.org.na,,,,,,,,,,
Jamii Africa Mobile Insurance Company,Tanzania,"A mobile micro-health insurance company which offers basic, low-cost health insurance packages for the low income and informal sector and allows users to access cheap insurance via USSD.",Social Enterprise,Health,Lilian Makoi,,,,Bill & Melinda Gates Foundation,Jubilee Insurance,Vodacom Tanzania,Ministry of Health,,,http://www.jamiiafrica.com/,,,,,,,,,,
Jamii Media,Tanzania,"Media organisation that has developed Jamii Forums, a 'user-generated content' social media site that gives individuals the opportunity to share opinions and discuss political and news worthy issues. The platform provides anonymization of its users so that they can speak openly without fear of being tracked by the authorities.",Social Enterprise,Transparency,Maxence Melo,Mike Mushi ,,,Making All Voices Count,Code for Tanzania,Buni Innovation Hub,The Citizen (Nation Media Group),Mwananchi News,,https://www.jamiiforums.com,,Jamii Forums,Tushirikiane,,,,,,,
Jembi Health Systems,South Africa,African-based not-for-profit NGO based in South Africa focusing on the development of eHealth and health Information systems in developing countries,Non Profit,Health,Alessandro Campione,Pierre Dane,Jonnea Smith,,,,,,,,https://www.jembi.org,https://github.com/jembi?page=1,,,,,,,,,https://id.atlassian.com/login?continue=https%3A%2F%2Fjembiprojects.jira.com%2Flogin%3FredirectCount%3D1
Kenyans On Github,,,,,,,,,,,,,,,,https://github.com/kenyansongithub,,,,,,,,,
Knight Foundation,USA,A non-profit foundation dedicated to fostering “informed and engaged communities” which the foundation believes are “essential for a healthy democracy.”,Donor / Investor,Transparency,Alberto Ibargüen,,,,,,,,,,https://knightfoundation.org,https://github.com/knightfoundation,RootIO Radio,,,,,,,,
Making All Voices Count,Tanzania,"Organisation implemented by HIVOS, Ushahidi and the Institute of Development Studies (IDS) which works with a range of actors, including government, civil society, researchers, NGOs and private sector/technology companies to support initiatives that use innovation and technology to promote transparency, fight corruption, empower citizens, and harness the power of new technologies to make government more effective and accountable.",Donor / Investor,Transparency,Fletcher Tembo,,,,Omidyar Network,UK Aid Direct (UKAID),USAID,Swedish International Development Agency (SIDA),Hivos,Ushahidi,http://www.makingallvoicescount.org,,Alidade,,,,,,,,
Map Kibera Trust,Kenya,Trust who's mission is to increase influence and representation of marginalized communities through the creative use of digital tools for action.,Non Profit,Governance,Joshua Ogure,,,,,,,,,,mapkibera.org,https://github.com/mapkibera,Map Kibera,,,,,,,,
Media Development Investment Fund,Africa,"Organisation that provides affordable financing and technical assistance to independent news and information businesses in challenging environments, helping them to become financially sustainable",Donor / Investor,Transparency,Harlan Mandel,,,,,,,,,,https://www.mdif.org,,,,,,,,,,
Media Monitoring Africa,South Africa,"An organisation which implements successful media strategies for change. We use technology, social media and data tools to make our work more efficient and effective.",Non Profit,Transparency,William Bird,,,,Google,OpenUp,,,,,,,,,,,,,,,
Millenium Challenge Corporation,"USA, Tanzania","An innovative and independent U.S. foreign aid agency leading in the fight against global poverty. MCC forms partnerships with some of the world’s poorest countries. In Tanzania, MCC has supported several projects to improve public service delivery",Donor / Investor,Governance,Jonathan Nash,,,,Code for Africa,IREX,Sahara Sparks/ Ventures,US Congress,Tanzania Bora Initiative,The Open Data Institute,https://www.mcc.gov,,"Data Zetu, Data for Local Impact Innovation Challenge, dLab",,,,,,,,
Mobicure,Nigeria,A mobile health (mhealth) company creating mobile technology solutions to solve some of the most pressing healthcare issues plaguing Nigeria and other developing nations. ,Social Enterprise,Health,,,,,,,,,,,http://mobicure.biz,,Omomi,,,,,,,,
Moving Gauteng,South Africa,"We are a small team of public transport and data enthusiasts who set out to take on the challenge of creating integrated public transport data. We created Moving Gauteng to be a platform to help commuters to move around Gauteng. We spend evenings and weekends mapping Gauteng's public transport network, tracking buses and calculating schedule timings, and building services on top of the data that we create.",Non Profit,Governance,,,,,,,,,,,https://movinggauteng.co.za,https://github.com/movinggauteng,,,,,,,,,
mySociety,"United Kingdom, Kenya, Uganda",Organisation that exists to invent and popularise websites and apps that enable citizens around the world to exert power over institutions and decision makers.,Non Profit,Governance,,,,,They Work For You,Uganda Parliament Watch,,,,,https://www.mysociety.org,,Mzalendo,Uganda Parliament Watch,,,,,,,
Mzalendo,Kenya,Organisation that keeps an eye on Kenyan parliament.,Non Profit,Transparency,Jessica Musila,,,,,,,,,,http://info.mzalendo.com,https://www.mysociety.org/democracy/pombola/,Mzalendo,,,,,,,,
Ndifuna Ukwazi,South Africa,"An activist organisation and law centre that works to advance urban land justice & the protection and promotion of access to affordable, well located housing in Cape Town;",Non Profit,Governance,Mandisa Shandu,Jared Rossouw,,,,,,,,,http://nu.org.za/what-we-do/,,Informal Settlements Matrix,,,,,,,,
Omidyar Network,,"A self-styled ""philanthropic investment firm,"" composed of a foundation and an impact investment firm",Donor / Investor,Governance,Nishant Lalwani,,,,,,,,,,,,https://www.omidyar.com/investees?initiative=&region=africa&search=#filter,,,,,,,,
Ona,Kenya,ODK Compliant Data Collection Platform,Social Enterprise,Governance,Matt Berg,,,,,,,,,,ona.io,https://github.com/onaio,Ona.io,,,,,,,,
Open Data Durban,South Africa,"A non-profit civic technology lab that implements and advocates for open data, open government, and civic technology through projects, events, workshops, and hackathons",Non Profit,Governance,Travis Frisinger,Bryden Neville,,,,,,,,,https://opendata.durban/,https://github.com/opendatadurban,,,,,,,,,
Open Government Partnership,Tanzania,"An initiative that aims to secure concrete commitments from national and subnational governments to promote open government, empower citizens, fight corruption, and harness new technologies to strengthen governance",Non Profit,Governance,,,,,,,,,,,https://www.opengovpartnership.org,,,,,,,,,,
Open Institute,Kenya,"Organisation that aims to support the inclusion of citizens in the governance and development of their society as well as
support and promote efforts by responsive governments, particularly in Africa.",Non Profit,Governance,Jay Bhalla,Al Kags,,,,,,,,,https://www.openinstitute.com,,OpenDuka,,,,,,,,
Open Knowledge International,,A global non-profit organisation focused on realising open data’s value to society by helping civil society groups access and use data to take action on social problems.,Non Profit,Governance,,,,,,,,,,,,,,,,,,,,,
Open Oil-UG,"Cote d'Ivoire, Sierra Leone, The Gambia",An open source reference for extractive industries.,Social Enterprise,Transparency,,,,,,,,,,,http://openoil.net,,OpenOil Aleph,,,,,,,,
Open Society Foundation for South Africa (OSF-SA),South Africa,"An organization committed to promoting the values, institutions and practices of an open, non-racial and non-sexist, democratic, civil society.",Donor / Investor,Governance,Fatima Hassan,,,,,,,,,,,,,,,,,,,,
OpenELIS,"Cote d'Ivoire, Kenya",A community building laboratory information systems for resource-constrained international clinical and reference laboratories.,Non Profit,Health,Phassoa,Paul Shwartz,koneconstant,Greg Rossum,,,,,,,http://www.openelis.org,https://github.com/openelisglobal,OpenELIS,,,,,,,,
OpenHIE,"Rwanda, South Africa, Sierra Leone, Tanzania","Organisation that works to improve the health of the underserved through open and collaborative, development and support of country driven, large scale health information sharing architectures.",Non Profit,Health,Carl Fourie,,,,,,,,,,https://ohie.org,,OpenMRS,,,,,,,,
OpenMRS,"Kenya, Rwanda, Mozambique",The global OpenMRS community works together to build the world's leading open source enterprise electronic medical record system platform,Non Profit,Health,Paul Biondich,Burke Mamlin,,,,,,,,,http://openmrs.org,https://github.com/openmrs,OpenMRS,,,,,,,,
OpenUp,South Africa,A South African civic technology non-profit that empowers citizens to improve their lives and communities,Non Profit,Governance,Adi Eyal,Chantal Booyse,JD Bothma,Greg Kempe,The Indigo Trust,Open Society Foundation for South Africa (OSF-SA),Omidyar Network,Code for Africa,Making All Voices Count,ICFJ (International Center for Journalists),https://openup.org.za,https://github.com/OpenUpSA,Wazimap,Open Gazettes,,,,,,,
OSIEA,"Kenya, Uganda, Tanzania","Encourage open, informed dialogue about issues of public importance; support individuals and groups to participate in matters that affect them in order to demand fair treatment, delivery of services and accountability from their leaders and institutions.",Non Profit,Governance,Mburu Gitu,Sarah Mukasa,,,,,,,,,,,,,,,,,,,
OSIWA,"Nigeria, Ghana",A West African organization which promotes democratic values.,Non Profit,Governance,,,,,,,,,,,,,,,,,,,,,
Outbox Hub,Uganda,Innovation and technology infrastructure hub that supports African entrepreneurs.,Social Enterprise,Governance,Richard Zulu,,,,,,,,,,http://www.outbox.co.ug,,Pimaa,,,,,,,,
Oxpeckers,South Africa,The Oxpeckers Center for Investigative Environmental Journalism is Africa’s first journalistic investigation unit focusing on environmental issues.,Non Profit,Natural Resources,Fiona Macleod,,,,Code for Africa,Open Society Foundation for South Africa (OSF-SA),,,,,https://oxpeckers.org/,https://github.com/oxpeckers/,#GreenAlert,#MineAlert,,,,,,,
Pollicy,Uganda,"Organisation that works with governments, civil society, NGOs and the private sector re-design services around citizen needs and demands and to innovate government service delivery across Africa.",Non Profit,Governance,Lorna Maria,Neema Iyer,,,,,,,,,http://pollicy.org,https://github.com/pollicy,,,,,,,,,
Praekelt Foundation,South Africa,An African nonprofit organization dedicated to using mobile technology to improve the lives of people living in poverty.,Non Profit,Governance,Gustav Praekelt,,,,,,,,,,https://www.praekelt.org/,https://github.com/praekeltfoundation,,,,,,,,,
President's Emergency Fund for Aids Relief,"USA, Tanzania, Kenya","A United States governmental initiative to address the global HIV/AIDS epidemic and help save the lives of those suffering from the disease, primarily in Africa.",Public Agency,Health,,,,,,,,,,,,,,,,,,,,,
Public Sector Systems Strengthening (PS3),Tanzania,"A five year USAID funded project in Tanzania. The overall objective of PS3 is to strengthen the government systems at both national and local levels to improve the access, use and quality of service delivery across health, education and agriculture sectors, with a focus on the underserved populations.",Public Agency,Governance,Sarah Rosen Wartell,,,,USAID,University of Dar es Salaam,Urban Institute,,,,https://www.urban.org/public-sector-systems-strengthening-tanzania,,,,,,,,,,
RapidPro,Rwanda,RapidPro is a hosted service allowing organizations to visually build scalable interactive messaging applications.,Social Enterprise,Governance,,,,,,,,,,,https://community.rapidpro.io/about-rapidpro/,https://github.com/rapidpro,Rapid Pro,,,,,,,,
RootIO,Uganda,,Social Enterprise,Transparency,,,,,,,,,,,,,,,,,,,,,
Sahara Sparks/ Ventures,Tanzania,A project management consulting firm that manages projects and initiatives that create value to the community by addressing their key pain points,Social Enterprise,Governance,Jumanne Mtambalike,,,,Millenium Challenge Corporation,President's Emergency Fund for Aids Relief,UK Aid Direct (UKAID),Buni Innovation Hub,Commision for Science and Technology (COSTECH),Making All Voices Count,http://www.saharasparks.com,,"Hatua Project, Data Zetu, Amua Accelerator, Mawazo Challenge",,,,,,,,
She Codes for change,Tanzania,"A Tanzanian tech mentorship project aims to close the gender gap in the technology sector by educating, inspiring and equipping high school girls with the skills and tools for innovation and social change",Non Profit,Education,Abella Bateyunga,Godfrey Nyombi,Rose Funja,,Institute of International Education,Reach for Change,Tigo,Commision for Science and Technology (COSTECH),Buni Innovation Hub,,http://shecodesforchange.org/home,,,,,,,,,,
ShuleDirect Tech,Tanzania,"An organisation that provides mobile educational learning content for students and teachers in Tanzanian secondary schools via mobile app, desktop learning, and SMS.",Social Enterprise,Education,Faraja Nyalandu,,,,Tigo,Human Development Innovation Fund,,,,,http://shuledirect.info,https://github.com/ShuleDirectTech,ShuleDirect,,,,,,,,
Shuttleworth Foundation,South Africa,A small social investor that provides funding to dynamic leaders who are at the forefront of social change.,Donor / Investor,Transparency,Helen Turvey,Jason Hudson,Karien Bezuidenhout,,,,,,,,https://www.shuttleworthfoundation.org/,https://github.com/ShuttleworthFoundation,,,,,,,,,
Society of Environmental Journalists,USA,"An organization whose mission is to strengthen coverage of environment, energy, health and climate news, by supporting the journalists who report that news.",Donor / Investor,Transparency,Bobby Magill,,,,,,,,,,http://www.sej.org/,,#GreenAlert,,,,,,,,
Swedish International Development Agency (SIDA),Tanzania,"A government agency working on behalf of the Swedish parliament and government, with the mission to reduce poverty in the world.",Public Agency,Governance,Carin Jämtin,,,,,,,,,,https://www.sida.se/English/,,,,,,,,,,
Taarifa,Tanzania,"Organisation building the Taarifa Platform. An open source web API, designed to close citizen feedback loops.",Social Enterprise,Governance,,,,,,,,,,,http://taarifa.org,https://github.com/taarifa,Tanzania Waterpoints,Taarifa Platform,,,,,,,
Tanzania Bora Initiative,Tanzania,"A collaborative effort of Tanzanian individuals who share common objectives of development in social, political and economic aspects. TBI develops ICT tools and media shows for youth awareness in governance issues",Social Enterprise,Governance,Abella Bateyunga,,,,EU,Millenium Challenge Corporation,President's Emergency Fund for Aids Relief,USAID,Human Development Innovation Fund,Sahara Sparks/ Ventures,http://www.tanzaniabora.org,,"Jua Katiba, She Codes for Change, Serikali Yangu",,,,,,,,
Tanzania Open Data Portal,Tanzania,Portal established by Tanzania's government to provide civic data in a machine readable format to be used and re-used by anybody.,Public Agency,Transparency,,,,,,,,,,,http://www.opendata.go.tz,,http://www.opendata.go.tz/dataset,,,,,,,,
The Engine Room,United Kingom,"Organisation that helps activists, organisations, and other social change agents make the most of data and technology to increase their impact.",Non Profit,Governance,Alix Dunn,,,,,,,,,,https://www.theengineroom.org/,https://github.com/the-engine-room,Alidade,Diig.io,Migodiyathu,Transparent Oil Namibia,Transparent Oil Zimbabwe,,,,
The Indigo Trust,"Kenya, Tanzania, Nigeria, South Africa",Donor organisation using digital technologies to improve transparency and accountability in sub-Saharan Africa,Donor / Investor,Transparency,Fran Perrin,,,,,,,,,,https://indigotrust.org.uk,,BudgIT,Map Kibera,,,,,,,
The Open Data Institute,"United Kingdom, Tanzania","Organisation whose mission is to connect, equip and inspire people around the world to innovate with data.",Non Profit,Governance,Tim Berners-Lee,Nigel Shadbolt,,,,,,,,,https://theodi.org,,,,,,,,,,
The World Bank - Africa,"Tanzania, Kenya, Uganda","The World Bank supports Tanzania’s growth through policy analysis, grants and credits with focus on private sector and infrastructure. The World Bank has been supporting different open data initiatives in Tanzania and is currently hosting the Tanzania Open Data Initiative (TODI) and supporting initiatives such as Ramani Huria and Tandale mapping projects.",Donor / Investor,Governance,Makhtar Diop,,,,Commision for Science and Technology (COSTECH),Buni Innovation Hub,Data Zetu,IDA,IBRD,IMF,http://www.worldbank.org,,Dar Ramani Huria,World Bank Open Data,,,,,,,
They Work For You,Uganda,Organisation that mon­i­tors and re­ports on the work of the Par­lia­ment of Uganda.,Non Profit,Transparency,Jeremy Liebowitz,Joseph Munyangabo,,,Centre for Policy Analysis,,,,,,http://theyworkforyou.github.io/uganda-parliament-watch/,https://github.com/theyworkforyou,Uganda Parliament Watch,,,,,,,,
Tigo,Tanzania,A leading telecommunications company in Tanzania,Social Enterprise,Governance,Simon Karikari,,,,Commision for Science and Technology (COSTECH),Buni Innovation Hub,Reach for Change,UNICEF,,,,,Tigo Kilimo,,,,,,,,
