Name,Country,Description,Category,Url,Github,Related,,,
Politwoops,Kenya,Database of deleted tweets by Kenyan politicians,,https://politwoops.codeforkenya.org,https://github.com/propublica/politwoops,,,,
sourceAFRICA,Kenya,"The continent's largest repository of documentary evidence and other ""actionable documents"" from investigative journalists and civic watchdogs.",,https://sourceafrica.net/,https://github.com/CodeForAfrica/sourceAFRICA,,,,
sourceAFRICA,Kenya,Africa's premier repository for actionable documents,,https://sourceafrica.net,https://github.com/CodeForAfrica/sourceAFRICA.app-Briefcase,,,,
StarReports,Kenya,Android app used for citizen reporting of breaking news,,http://reports.the-star.co.ke,https://github.com/CodeForAfrica/CitizenReporter-Android,,,,
Ushahidi Platform,Kenya,Crowdsource data collection platform,First Response/ Crisis,https://www.ushahidi.com,https://github.com/ushahidi/platform,,,,
gazetiAFRICA,"Kenya, Nigeria, Sierra Leone",Africa's largest largest freely searchable collection of gazettes,,https://gazeti.africa,https://github.com/gazeti/gazeti.AFRICA,,,,
AfricanSpending,"Kenya, Nigeria, Tanzania",Initiative that maps out the ways in which public data can be used to improve the way we understand how governments spend our money.,Governance,http://www.africanspending.org/library/index.html,https://github.com/CodeForAfrica/AfricanSpending,,,,
sensorsAFRICA,"Kenya, Nigeria, Tanzania",Network of air quality monitoring sensors in Africa,Environmental,http://map.airquality.codeforkenya.org/#4/-4.46/19.54,https://github.com/opendata-stuttgart/feinstaub-map,,,,
TaxClock,"Kenya, South Africa, Tanzania",Tool that helps users calculate exactly how much time they spend working for the government in terms of taxes,Governance,https://taxclock.codeforkenya.org,https://github.com/CodeForAfrica/TaxClock,,,,
Climate Change Projections,"Kenya, Tanzania, Nigeria, South Africa",An embeddable map that shows climate change projections,Environmental,https://climatechange.codeforafrica.org/map.html,https://github.com/CodeForAfrica/ClimateChangeProjections,,,,
Omomi,Nigeria,We provide mobile technology solutions to solve some of the most pressing health issues.,,http://omomiapp.com,https://github.com/omomi,,,,
Where my Money Dey,Nigeria,Tracking revenues paid back by mining companies to local residents.,Governance,http://wmmd.codeforafrica.org,https://github.com/CodeForAfrica/WhereMyMoneyDey,,,,
YamaYama,Nigeria,Platform that helps Nigerian citizens check whether garbage dumps in their neighbourhood are legal and -- if not -- helps citizens alert the authorities.,Service Delivery,https://yamayama.codefornigeria.org,https://github.com/CodeForAfrica/AlertME,,,,
BudgIT,"Nigeria, Ghana, Sierra Leone",Simplifies budget and matters of public spending for citizens,,http://yourbudgit.com,http://yourbudgit.com/data/,,,,
Flood Aid Salone,Sierra Leone,An Ushahidi based project that was used to map out crowd sourced information about the infrastructure damaged and missing people during the 2017 August Freetown Flash Floods,,,https://github.com/Code4SierraLeone/floodaidsalone-platform-api,https://github.com/Code4SierraLeone/floodaidsalone-dashboard,,,
Know Your City,Sierra Leone,A web based portal that maps out the infrastructure facilities in the informal settlements in Freetown,,http://bit.ly/know-your-city,https://github.com/Code4SierraLeone/KnowYourCity,,,,
MWash,Sierra Leone,A web based portal that aims to improve the delivery of water and sanitation services in Freetown,,https://mwash.codeforsierraleone.org,https://github.com/Code4SierraLeone/MWash,,,,
Solve Cholera,Sierra Leone,"A cross platform tool that aims to provide awareness and disseminate sensitization information regarding cholera in an interactive and intuitive manner Edit
",,,https://github.com/Code4SierraLeone/SolveCholera-Web,https://github.com/Code4SierraLeone/SolveCholera-AI,,,
Open Gazettes,South Africa,Biggest collection of freely available gazettes in South Africa,,https://opengazettes.org.za/,https://github.com/OpenUpSA/opengazettes,,,,
Wazimap,South Africa,A Django application for exploring census and other similar data,,http://wazimap.co.za,https://github.com/OpenUpSA/wazimap-za,,,,
2017 Daily News Tanzania,Tanzania,2017 article scrapes for Daily News (Tanzania),,,https://github.com/newstools/2017-daily-news-tanzania,,,,
AfyaMap,Tanzania,Visualized Map of Tanzanian Health Initiatives,,http://afyamap.org,https://github.com/Jumagreens/AfyaMap,,,,
Hospital Locator,Tanzania,Helps users find the closest medical facilities ,,http://htools-tz-health-facilities.dokku-1.codefortanzania.org/,https://github.com/CodeForTanzania/medicine-prices-app,,,,
Living Wage,Tanzania,Users cancheck whether the wages paid to domestic workers is livable in Tanzania.,,http://livingwages.codefortanzania.org/,https://github.com/CodeForTanzania/Domestic-Workers,,,,
MaoniApp,Tanzania,Web App and SMS application that provides citizens with an opportunity to comment positively or negatively and offer solutions to the challenges facing public offices on service delivery.,,https://play.google.com/store/apps/details?id=org.hatuaproject.maoni,,,,,
MedPrices ,Tanzania,Verifies the price of medication,,http://htools-tz-medicine-prices.dokku-1.codefortanzania.org/,https://github.com/CodeForTanzania/medicine-prices-app,,,,
ShuleDirect,Tanzania,An online platform that provides educational learning content for students and teachers in secondary schools.,,https://www.shuledirect.co.tz,https://github.com/ShuleDirectTech/Shule-Direct-Heart-AR,,,,
Taarifa.org,Tanzania,Waterpoint management system for Tanzania,,Taarifa.org,https://github.com/taarifa/TaarifaWaterpoints,,,,
HURUmap,"Tanzania, Kenya, Uganda",Interactive national statistic map,,https://hurumap.org,https://github.com/CodeForAfrica/HURUmap,,,,
Rootio Radio,Uganda,A grassroots radio project for community input and output,,http://rootio.org,https://github.com/rootio/rootio_web,,,,
OpenELIS,"Cote d'Ivoire, Kenya",A community building laboratory information systems for resource-constrained international clinical and reference laboratories.,,http://www.openelis.org,https://github.com/openelisglobal,,,,
Map Kibera,Kenya,Trust who's mission is to increase influence and representation of marginalized communities through the creative use of digital tools for action.,,mapkibera.org,https://github.com/mapkibera/mapkibera,,,,
Pimaa,Uganda,An open data internet of things project that seeks to build low cost environment monitoring stations within the Kampala urban areas,Environmental,,https://github.com/outboxafrica/pimaa,,,,
OpenMRS,"Kenya, Rwanda, Mozambique, Tanzania",The global OpenMRS community works together to build the world's leading open source enterprise electronic medical record system platform,Service Delivery,http://openmrs.org/,https://github.com/openmrs,,,,
CodeTanzania,Tanzania,,,,https://github.com/CodeTanzania,,,,
Out Patient Diagnosis Baobab EMR,Malawi,Medical Records Software,Civil Society,http://baobabhealth.org,https://github.com/BaobabHealthTrust/OPD,https://github.com/BaobabHealthTrust,,,
